id,category,query,answer,sources,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,['support/sla-p1-2026.pdf'],Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Câu trả lời hoàn toàn dựa trên thông tin từ tài liệu được cung cấp.,5,Câu trả lời trực tiếp giải đáp câu hỏi về SLA xử lý ticket P1.,5,Retrieved 1/1 expected sources.,5,Câu trả lời bao gồm cả thời gian phản hồi ban đầu và thời gian xử lý/khắc phục.,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1][2].,['policy/refund-v4.pdf'],Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Câu trả lời trích xuất chính xác thông tin về thời hạn yêu cầu hoàn tiền từ ngữ cảnh.,5,Câu trả lời trực tiếp giải đáp câu hỏi của người dùng về thời hạn yêu cầu hoàn tiền.,5,Retrieved 1/1 expected sources.,5,Câu trả lời bao gồm đầy đủ thông tin về thời hạn yêu cầu hoàn tiền theo ngữ cảnh.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].",['it/access-control-sop.md'],"Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Câu trả lời hoàn toàn dựa trên thông tin được cung cấp trong tài liệu [1].,5,Câu trả lời trực tiếp và chính xác giải đáp câu hỏi về người phê duyệt quyền Level 3.,5,Retrieved 1/1 expected sources.,5,Câu trả lời bao gồm đầy đủ tất cả các bên cần phê duyệt cho quyền Level 3 theo tài liệu.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, theo ngoại lệ trong chính sách hoàn tiền [1].",['policy/refund-v4.pdf'],"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,Câu trả lời hoàn toàn dựa trên thông tin trong tài liệu được cung cấp.,5,Câu trả lời giải quyết trực tiếp câu hỏi về việc hoàn tiền cho sản phẩm kỹ thuật số.,5,Retrieved 1/1 expected sources.,5,Câu trả lời nêu rõ sản phẩm kỹ thuật số không được hoàn tiền theo chính sách.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,['support/helpdesk-faq.md'],Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Câu trả lời hoàn toàn dựa trên thông tin từ tài liệu được cung cấp.,5,Câu trả lời trực tiếp giải đáp câu hỏi về số lần đăng nhập sai.,5,Retrieved 1/1 expected sources.,4,Câu trả lời cung cấp số lần đăng nhập sai và cách mở khóa.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo quy trình sau:

1. On-call engineer nhận alert hoặc ticket, xác nhận severity trong 5 phút.
2. Gửi thông báo tới Slack #incident-p1 và email incident@company.internal ngay lập tức.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút. Nếu cần hỗ trợ thêm, escalate ngay.
5. Tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút [2][3]. 

Sau khi khắc phục, viết incident report trong vòng 24 giờ [2].",['support/sla-p1-2026.pdf'],Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Câu trả lời bám sát hoàn toàn thông tin từ các tài liệu được cung cấp.,5,Câu trả lời giải thích chi tiết quy trình escalation cho sự cố P1 theo đúng câu hỏi.,5,Retrieved 1/1 expected sources.,4,"Câu trả lời bao gồm các bước xử lý sự cố P1 và quy trình escalation, nhưng thiếu chi tiết về việc cấp quyền tạm thời.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu ""Approval Matrix để cấp quyền hệ thống"" là ""Approval Matrix for System Access"" [1].",['it/access-control-sop.md'],Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Câu trả lời hoàn toàn dựa trên thông tin được cung cấp trong tài liệu [1].,5,Câu trả lời trực tiếp giải đáp câu hỏi về tên tài liệu Approval Matrix.,5,Retrieved 1/1 expected sources.,3,"Câu trả lời chỉ nêu tên cũ, chưa cập nhật tên mới theo tài liệu.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,['hr/leave-policy-2026.pdf'],"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Câu trả lời hoàn toàn dựa trên thông tin từ tài liệu được cung cấp.,5,Câu trả lời trực tiếp giải đáp câu hỏi về số ngày làm remote tối đa mỗi tuần.,5,Retrieved 1/1 expected sources.,4,"Câu trả lời nêu rõ số ngày remote tối đa và điều kiện sau thử việc, nhưng thiếu thông tin về phê duyệt của Team Lead.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu được cung cấp.,['it/access-control-sop.md'],"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,The answer correctly states that the information is not available in the provided documents.,5,The answer directly addresses the question by stating the lack of information.,,N/A: no expected sources,5,The answer is complete as it accurately reflects the absence of information in the context.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu trong tài liệu được cung cấp.,['policy/refund-v4.pdf'],"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,The answer correctly states that the provided documents do not mention special procedures for VIP customers.,5,The answer directly addresses the question about whether the refund process differs for VIP customers.,5,Retrieved 1/1 expected sources.,5,The answer accurately reflects the lack of specific information for VIP customers in the provided context.,baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,['support/sla-p1-2026.pdf'],Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Câu trả lời hoàn toàn dựa trên thông tin được cung cấp trong tài liệu.,5,Câu trả lời trực tiếp giải đáp câu hỏi về SLA xử lý ticket P1.,5,Retrieved 1/1 expected sources.,5,Câu trả lời bao gồm cả thời gian phản hồi ban đầu và thời gian xử lý/khắc phục.,variant_hybrid
